time_s,R_m,T_K_max_abs,T_K_r_m,T_K_z_m,T_K_volume_RMSE,T_K_midplane_max_abs,T_K_endface_max_abs,T_K_middle_zone_max_abs,T_K_end_zone_max_abs,C_kg_kg_max_abs,C_kg_kg_r_m,C_kg_kg_z_m,C_kg_kg_volume_RMSE,C_kg_kg_midplane_max_abs,C_kg_kg_endface_max_abs,C_kg_kg_middle_zone_max_abs,C_kg_kg_end_zone_max_abs
0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,0.01995766666666667,0.07408819684115997,0.008915060203989574,0.125,0.005391895545425704,0.00037778437376800866,0.07408819684115997,0.00037778437376800866,0.07408819684115997,0.7341794944891624,0.019252847286208376,0.125,0.008377955421433967,0.07295037505855939,0.7341794944891624,0.07295037505855984,0.7341794944891624
120.0,0.019915333333333333,0.21618863640111385,0.00025632001319857747,0.125,0.018555505294412956,0.0004316390680969562,0.21618863640111385,0.0004316390680969562,0.21618863640111385,0.7904210963254765,0.01874312608619185,0.125,0.015328161373448541,0.03549519777860066,0.7904210963254765,0.035495197778600884,0.7904210963254765
180.0,0.019873000000000002,0.37435505446472916,0.00025577516263659475,0.125,0.03593464039924908,0.00025105322265517316,0.37435505446472916,0.00025105322265517316,0.37435505446472916,0.8439739790597325,0.0,0.125,0.02159495856384307,0.020629641556612954,0.8439739790597325,0.020629641556613176,0.8439739790597325
240.0,0.019830666666666667,0.5243436539171284,0.00025523031207461204,0.125,0.05418928911512804,0.00018640351504473074,0.5243436539171284,0.00018640351504473074,0.5243436539171284,0.8929611193688267,0.0,0.125,0.027319610483397438,0.013066796493984123,0.8929611193688267,0.013066796493984123,0.8929611193688267
300.0,0.019788333333333335,0.7371101342076827,0.0002546854615126293,0.125,0.07701031835809444,0.0002394344094227563,0.7371101342076827,0.0002394344094795997,0.7371101342076827,0.9367250212247076,0.0,0.125,0.03258638411383261,0.012373001561929886,0.9367250212247076,0.01237300156193033,0.9367250212247076
360.0,0.019746,0.9451324303139472,0.0002541406109506466,0.125,0.10276762265138618,0.0002869295361165314,0.9451324303139472,0.0002869295361733748,0.9451324303139472,0.9764398435127102,0.0,0.125,0.03745468656511734,0.011829972455638105,0.9764398435127102,0.011829972455638549,0.9764398435127102
420.0,0.019703666666666668,1.157592527724944,0.0002535957603886639,0.125,0.12918793624452568,0.00030562495561525793,1.157592527724944,0.00030562495561525793,1.157592527724944,1.0126951372279835,0.0,0.125,0.041974929383555286,0.011179874868293416,1.0126951372279835,0.011179874868293638,1.0126951372279835
480.0,0.019661333333333333,1.3447323375234532,0.00025305090982668117,0.125,0.1548340566280008,0.0003363745731803647,1.3447323375234532,0.0003363745731803647,1.3447323375234532,1.0461507271481005,0.0,0.125,0.04618978050777288,0.010498559009507913,1.0461507271481005,0.010498559009508135,1.0461507271481005
540.0,0.019619,1.560658581258906,0.00025250605926469845,0.125,0.18153983876814803,0.0003245941325644708,1.560658581258906,0.0003245941325644708,1.560658581258906,1.0765939038209476,0.0,0.125,0.050135802859118464,0.009860403647092175,1.0765939038209476,0.00986040364709262,1.0765939038209476
600.0,0.019576666666666666,1.7765725815186215,0.00025196120870271574,0.125,0.2097962374556232,0.0018532011829961448,1.7765725815186215,0.00185320118640675,1.7765725815186215,1.1044788597070152,0.0,0.125,0.053838855940138826,0.010913153555622612,1.1044788597070152,0.010913153555626831,1.1044788597070152
660.0,0.019534333333333334,2.0191942431422945,0.000251416358140733,0.125,0.24009405035441617,0.00044349585010650117,2.0191942431422945,0.0004434958501633446,2.0191942431422945,1.1299047571776504,0.0,0.125,0.05732587453178957,0.009031688904131752,1.1299047571776504,0.009031688904170165,1.1299047571776504
