case_id,dimension,time_s,dt_s,rk_stage,T_K,Cmax_kg_kg,r_m,z_m,R_m,rho,cp,k,D
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,158400.0,0.0146484375,accepted_state,323.1489344233671,0.16838598879101596,0.0,0.0,0.02,671.55340656525,1844.3081051570398,0.2647650146051444,1.1101962393556926e-09
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,162000.0,0.0146484375,accepted_state,323.14893442337734,0.16664951140120698,0.0,0.0,0.02,671.3311374593545,1840.8226581658434,0.26428092474525605,1.0797075588659632e-09
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,165600.0,0.0146484375,accepted_state,323.1489344233876,0.16498977330601225,0.0,0.0,0.02,671.1186909831696,1837.4815299744914,0.2638168791631238,1.05077332757465e-09
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,169200.0,0.0146484375,accepted_state,323.1489344233978,0.16340139529543873,0.0,0.0,0.02,670.9153785978161,1834.2751257959344,0.26337154524943535,1.023280576585958e-09
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,172800.0,0.0146484375,accepted_state,323.1489344234081,0.1618795016715897,0.0,0.0,0.02,670.7205762139635,1831.194707313683,0.26294370934912265,9.971268313647237e-10
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,176400.0,0.0146484375,accepted_state,323.1489344234178,0.16041966215167106,0.0,0.0,0.02,670.5337167554139,1828.2322981611158,0.26253226363348825,9.722189382347356e-10
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,180000.0,0.0146484375,accepted_state,323.1489344234251,0.15901784165748378,0.0,0.0,0.02,670.3542837321579,1825.3806016934893,0.2621361946796513,9.484720429144939e-10
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,183600.0,0.0146484375,accepted_state,323.14893442343237,0.1576703567699181,0.0,0.0,0.02,670.1818056665495,1822.6329292270477,0.26175457350375664,9.258086988666488e-10
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,187200.0,0.0146484375,accepted_state,323.148934423441,0.15637383783825667,0.0,0.0,0.02,670.0158512432969,1819.9831372225428,0.2613865468364643,9.04158086831435e-10
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,190800.0,0.0146484375,accepted_state,323.1489344234501,0.15512519590498133,0.0,0.0,0.02,669.8560250758376,1817.4255721376726,0.2610313294635656,8.834553298727037e-10
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,194400.0,0.0146484375,accepted_state,323.1489344234578,0.15392159374634456,0.0,0.0,0.02,669.7019639995322,1814.9550218769643,0.2606881974829117,8.636408907175464e-10
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,198000.0,0.0146484375,accepted_state,323.1489344234649,0.1527604204424265,0.0,0.0,0.02,669.5533338166306,1812.5666729345808,0.2603564823520251,8.446600401947071e-10
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,201600.0,0.0146484375,accepted_state,323.1489344234719,0.15163926898418734,0.0,0.0,0.02,669.409826429976,1810.2560724650257,0.26003556562014246,8.264623872719701e-10
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,205200.0,0.0146484375,accepted_state,323.1489344234792,0.15055591650176958,0.0,0.0,0.02,669.2711573122265,1808.0190946314674,0.25972487425437046,8.0900146259928e-10
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,208800.0,0.0146484375,accepted_state,323.148934423486,0.14950830676226412,0.0,0.0,0.02,669.1370632655699,1805.8519106779743,0.259423876483052,7.922343486486393e-10
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,212400.0,0.0146484375,accepted_state,323.14893442349313,0.14849453463810677,0.0,0.0,0.02,669.0073004336776,1803.7509622524067,0.259132078090612,7.761213505343887e-10
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,216000.0,0.0146484375,accepted_state,323.1489344235,0.14751283229125994,0.0,0.0,0.02,668.8816425332813,1801.7129375738843,0.2588490191074839,7.606257024304431e-10
q23_1d_adaptive_nr160_nz1_dt0.125_m94a220bc5006_half_steps,1,219600.0,0.0146484375,accepted_state,323.14893442350694,0.14656155685557334,0.0,0.0,0.02,668.7598792775134,1799.7347500962478,0.25857427084670104,7.457133052127465e-10
