time_s,time_h,variable,r=0cm,r=0.5cm,r=1cm,r=1.5cm,r=2cm
1800,0.5,temperature_C,32.18869718358707,32.38251784195501,32.9663207486326,33.961146793304465,35.41304932600082
1800,0.5,C_kg_kg,2.5499239685214254,2.5488008882043123,2.52507812919976,2.3250013389422453,1.6486524524571549
3600,1.0,temperature_C,40.38061988768635,40.5534691757,41.060367577616375,41.8781486713151,42.997433426637485
3600,1.0,C_kg_kg,2.5255393672523763,2.494402552717624,2.357448491994508,2.0228142972239924,1.471225956962386
5400,1.5,temperature_C,45.84601730578805,45.934514966977645,46.19268023673044,46.604821927766466,47.13970774008811
5400,1.5,C_kg_kg,2.3859956731809215,2.325324133282886,2.1342293312698786,1.8019669122220443,1.3476545495360177
7200,2.0,temperature_C,48.449817492510476,48.487836023029104,48.59823585481996,48.77337181985911,49.00313881610845
7200,2.0,C_kg_kg,2.1709629501489833,2.1082641849479953,1.923528765504896,1.6258914171915926,1.231145516582249
9000,2.5,temperature_C,49.46678343204405,49.479084802066325,49.51352240615756,49.56528112425099,49.66099318977325
9000,2.5,C_kg_kg,1.9568270602098392,1.9005124816668553,1.7359194256595272,1.4719365351583553,1.116687188417685
10800,3.0,temperature_C,49.84943058248888,49.855305035220624,49.87457669424873,49.91012137829591,49.96640079661404
10800,3.0,C_kg_kg,1.7663807076545388,1.7164901888346673,1.5701594018254725,1.3332158082705916,1.0081586126405788
