time_s,time_h,variable,r=0cm,r=0.5cm,r=1cm,r=1.5cm,r=2cm
21600.0,6.0,C_kg_kg,1.017128157730188,0.9881511930001112,0.9015286285633198,0.7549737223574506,0.532842214926685
43200.0,12.0,C_kg_kg,0.4562209448614878,0.4431682208287406,0.4030659981589613,0.32966564587413594,0.1643117254022962
64800.0,18.0,C_kg_kg,0.2989168126854394,0.291596769803377,0.2687838980436384,0.22545535646805254,0.08432374326270442
86400.0,24.0,C_kg_kg,0.23797875121521694,0.23291488964813503,0.21698079117790536,0.18603975150328184,0.06631162158220999
108000.0,30.0,C_kg_kg,0.20611171571225845,0.20214028320759114,0.189562248691042,0.16477557952077387,0.05974356379305781
129600.0,36.0,C_kg_kg,0.18624164918770955,0.18290516081193944,0.17228935015607583,0.15114876210418063,0.05659339353689807
151200.0,42.0,C_kg_kg,0.17247733012925176,0.1695563667231228,0.16023041237332303,0.14150992721320688,0.05482181668397991
172800.0,48.0,C_kg_kg,0.16226621424080792,0.15963955956321335,0.1512303468673375,0.1342428708284883,0.05371677161740916
194400.0,54.0,C_kg_kg,0.154320290316098,0.15191401061769433,0.14419315692217288,0.12851487588209332,0.052975555937922636
208488.96,57.913599999999995,C_kg_kg,0.149999962238207,0.14771022761875308,0.14035413043329148,0.12537258483447378,0.052614678867104345
