time_s,R_m,T_K_max_abs,T_K_r_m,T_K_z_m,T_K_volume_RMSE,T_K_midplane_max_abs,T_K_endface_max_abs,T_K_middle_zone_max_abs,T_K_end_zone_max_abs,C_kg_kg_max_abs,C_kg_kg_r_m,C_kg_kg_z_m,C_kg_kg_volume_RMSE,C_kg_kg_midplane_max_abs,C_kg_kg_endface_max_abs,C_kg_kg_middle_zone_max_abs,C_kg_kg_end_zone_max_abs
0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.02,0.00034082347292496706,0.0,0.125,4.215588292184049e-06,5.684341886080802e-14,0.00034082347292496706,5.684341886080802e-14,0.00034082347292496706,0.19139578660073697,0.0,0.125,0.0001670018959736171,4.440892098500626e-16,0.19139578660073697,4.440892098500626e-16,0.19139578660073697
2.0,0.02,0.000763556389358655,0.0,0.125,1.6060631995716166e-05,5.684341886080802e-14,0.000763556389358655,5.684341886080802e-14,0.000763556389358655,0.19315746350307572,0.01675,0.125,0.00033303597248686623,4.440892098500626e-16,0.19315746350307572,4.440892098500626e-16,0.19315746350307572
3.0,0.02,0.00125725060570403,0.012750000000000001,0.125,3.4625728753904534e-05,5.684341886080802e-14,0.00125725060570403,5.684341886080802e-14,0.00125725060570403,0.19490922379329634,0.01625,0.125,0.0004981150710587161,4.440892098500626e-16,0.19490922379329634,4.440892098500626e-16,0.19490922379329634
4.0,0.02,0.0018136714207344085,0.01175,0.125,5.926717515006879e-05,5.684341886080802e-14,0.0018136714207344085,5.684341886080802e-14,0.0018136714207344085,0.19665116740856536,0.0,0.125,0.0006622518100802572,4.440892098500626e-16,0.19665116740856536,4.440892098500626e-16,0.19665116740856536
5.0,0.02,0.002426460389983731,0.01075,0.125,8.950783737727251e-05,5.684341886080802e-14,0.002426460389983731,5.684341886080802e-14,0.002426460389983731,0.19838339303430041,0.0,0.125,0.000825458589664389,4.440892098500626e-16,0.19838339303430041,4.440892098500626e-16,0.19838339303430041
6.0,0.02,0.0030905869847401846,0.01025,0.125,0.00012497942632124303,5.684341886080802e-14,0.0030905869847401846,5.684341886080802e-14,0.0030905869847401846,0.2001059981215314,0.0,0.125,0.0009877475963105881,4.440892098500626e-16,0.2001059981215314,4.440892098500626e-16,0.2001059981215314
7.0,0.02,0.0038019824182811135,0.0,0.125,0.00016538767982759544,5.684341886080802e-14,0.0038019824182811135,5.684341886080802e-14,0.0038019824182811135,0.20181907890402684,0.0,0.125,0.0011491308074015934,4.440892098500626e-16,0.20181907890402684,4.440892098500626e-16,0.20181907890402684
8.0,0.02,0.00455729021012985,0.0,0.125,0.00021049059762262256,5.684341886080802e-14,0.00455729021012985,5.684341886080802e-14,0.00455729021012985,0.20352273041515412,0.0,0.125,0.001309619995545947,4.440892098500626e-16,0.20352273041515412,4.440892098500626e-16,0.20352273041515412
9.0,0.02,0.00535369282317788,0.00875,0.125,0.00026008434987541884,5.684341886080802e-14,0.00535369282317788,5.684341886080802e-14,0.00535369282317788,0.20521704650450712,0.0,0.125,0.0014692267327791237,4.440892098500626e-16,0.20521704650450712,4.440892098500626e-16,0.20521704650450712
10.0,0.02,0.006188788742292672,0.0072499999999999995,0.125,0.0003139938429254022,5.684341886080802e-14,0.006188788742292672,5.684341886080802e-14,0.006188788742292672,0.2069021198542913,0.0,0.125,0.0016279623946341062,4.440892098500626e-16,0.2069021198542913,4.440892098500626e-16,0.2069021198542913
