time_s,time_h,variable,r=0cm,r=0.5cm,r=1cm,r=1.5cm,r=2cm
100,0.027777777777777776,temperature_C,28.000053489654704,28.000348216566124,28.004049312832024,28.03270877105831,28.18008795436873
100,0.027777777777777776,C_kg_kg,2.55,2.55,2.55,2.549999943273659,2.2467665677447908
300,0.08333333333333333,temperature_C,28.040795698347665,28.063533756331594,28.1514296453729,28.36816503013239,28.849002532334737
300,0.08333333333333333,C_kg_kg,2.55,2.55,2.549999998736479,2.5491677353930613,2.0500128893685727
600,0.16666666666666666,temperature_C,28.4533261362663,28.53615210193294,28.803988522211398,29.316017708069865,30.165325375803775
600,0.16666666666666666,C_kg_kg,2.55,2.5499999996629517,2.5499875893089032,2.535110267727383,1.8766186575129709
900,0.25,temperature_C,29.324236421600176,29.458394513982853,29.87548455599972,30.61624074520205,31.730487604533778
900,0.25,C_kg_kg,2.549999999914231,2.5499997569601,2.549673994328341,2.5043199758658523,1.754517571684353
1200,0.3333333333333333,temperature_C,30.54260259144371,30.710674883536,31.22311228486177,32.113318169679474,33.42827879317059
1200,0.3333333333333333,C_kg_kg,2.549999976388758,2.5499918914854,2.5481036253630256,2.463583184022677,1.6574878087355995
1500,0.4166666666666667,temperature_C,31.995373897874458,32.18754917299873,32.76659240586241,33.74684260535781,35.12064874477983
1500,0.4166666666666667,C_kg_kg,2.5499991692411146,2.5499302472776897,2.5443724515429027,2.4196164299230496,1.5780345759128014
1800,0.5,temperature_C,33.57475609581411,33.77262448130631,34.36458227743594,35.36261177474279,36.785939554766856
1800,0.5,C_kg_kg,2.5499912634848245,2.549699702016998,2.538044337968902,2.3744993266501058,1.5097495480809653
