case_id,time_s,Cmax_kg_kg,r_m,z_m,R_m,rho,cp,k,D
q1_1d_nr40_nz1_dt0.125_half_steps,1800.0,2.5499901324106693,0.0,0.0,0.02,820.0,2600.0,0.36,4.937648425448302e-09
q1_1d_nr40_nz1_dt0.25,1800.0,2.549990132410681,0.0,0.0,0.02,820.0,2600.0,0.36,4.9376484254483105e-09
q1_1d_nr80_nz1_dt0.25_radial_refinement,1800.0,2.5499918558313523,0.0,0.0,0.02,820.0,2600.0,0.36,4.937649590175533e-09
q1_2d_nr40_nz125_dt0.125_half_steps,1800.0,2.5499901324106693,0.0,0.0005,0.02,820.0,2600.0,0.36,4.937648425448302e-09
q1_2d_nr40_nz125_dt0.25,1800.0,2.549990132410681,0.0,0.0,0.02,820.0,2600.0,0.36,4.9376484254483105e-09
q1_2d_nr40_nz250_dt0.25_axial_refinement,1800.0,2.549990132410681,0.0,0.0,0.02,820.0,2600.0,0.36,4.9376484254483105e-09
q1_2d_nr80_nz125_dt0.25_radial_refinement,1800.0,2.5499918558313603,0.0,0.0,0.02,820.0,2600.0,0.36,4.937649590175538e-09
q23_1d_nr40_nz1_dt0.125_half_steps,3600.0,2.5255393672523794,0.0,0.0,0.02,973.2690390083046,3409.9485324107172,0.482215073945933,9.330579577383144e-09
q23_1d_nr40_nz1_dt0.125_half_steps,7200.0,2.1709629501489878,0.0,0.0,0.02,927.8832576190705,3323.1706188268618,0.4701625859481753,1.2333241489276753e-08
q23_1d_nr40_nz1_dt0.125_half_steps,10800.0,1.7663807076545335,0.0,0.0,0.02,876.0967305797803,3196.982113767086,0.452636404689873,1.2387593173245717e-08
q23_1d_nr40_nz1_dt0.125_half_steps,14400.0,1.4538010602738123,0.0,0.0,0.02,836.086535715048,3070.995183882308,0.4351382199836539,1.1792344623176939e-08
q23_1d_nr40_nz1_dt0.125_half_steps,18000.0,1.210015991206169,0.0,0.0,0.02,804.8820468743896,2947.999908196699,0.4180555428050971,1.1079080820539673e-08
q23_1d_nr40_nz1_dt0.125_half_steps,21600.0,1.017128157730188,0.0,0.0,0.02,780.192404189464,2829.616178022751,0.40161335805871534,1.0324765825083661e-08
q23_1d_nr40_nz1_dt0.125_half_steps,25200.0,0.8639156747079908,0.0,0.0,0.02,760.5812063626229,2718.1224360492415,0.38612811611795017,9.545634956104653e-09
q23_1d_nr40_nz1_dt0.125_half_steps,28800.0,0.7420848046005659,0.0,0.0,0.02,744.9868549888724,2615.4679611608667,0.3718705501612315,8.763264303153552e-09
q23_1d_nr40_nz1_dt0.125_half_steps,32400.0,0.6451101674586672,0.0,0.0,0.02,732.5741014347094,2522.8894958405626,0.359012429977856,7.999770830231294e-09
q23_1d_nr40_nz1_dt0.125_half_steps,36000.0,0.5677810172565183,0.0,0.0,0.02,722.6759702088343,2440.858318932982,0.34761921096291415,7.274747400262239e-09
q23_1d_nr40_nz1_dt0.125_half_steps,39600.0,0.5059274343293055,0.0,0.0,0.02,714.7587115941511,2369.179389902986,0.33766380415319247,6.602923788564229e-09
q23_1d_nr40_nz1_dt0.125_half_steps,43200.0,0.4562209448620261,0.0,0.0,0.02,708.3962809423393,2307.164230157924,0.3290505875219339,5.9930711024325006e-09
q23_1d_nr40_nz1_dt0.125_half_steps,46800.0,0.41601939975278135,0.0,0.0,0.02,703.250483168356,2253.823081747559,0.321642094687161,5.4482139726177605e-09
q23_1d_nr40_nz1_dt0.125_half_steps,50400.0,0.38324142312062326,0.0,0.0,0.02,699.0549021594397,2208.0372566435126,0.3152829523115989,4.966789196921478e-09
