time_s,C_r0.0_cm_kg_kg,C_r0.1_cm_kg_kg,C_r0.2_cm_kg_kg,C_r0.3_cm_kg_kg,C_r0.4_cm_kg_kg,C_r0.5_cm_kg_kg,C_r0.6_cm_kg_kg,C_r0.7_cm_kg_kg,C_r0.8_cm_kg_kg,C_r0.9_cm_kg_kg,C_r1.0_cm_kg_kg,C_r1.1_cm_kg_kg,C_r1.2_cm_kg_kg,C_r1.3_cm_kg_kg,C_r1.4_cm_kg_kg,C_r1.5_cm_kg_kg,C_r1.6_cm_kg_kg,C_r1.7_cm_kg_kg,C_r1.8_cm_kg_kg,C_r1.9_cm_kg_kg,C_r2.0_cm_kg_kg
1.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999834,2.549999999039994,2.5499777177863434,2.4595672006514713
2.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999989678,2.5499999850520263,2.5499122238110434,2.4558540210835518
3.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999999,2.549999999988601,2.5499999263394586,2.5498054786490183,2.452224970304131
4.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999991,2.549999999937961,2.5499997733561655,2.5496593549708146,2.4486763830090577
5.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999474,2.549999999770754,2.5499994612318453,2.5494756415372386,2.4452048054153304
6.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999997804,2.5499999993368503,2.549998912052324,2.5492560470084635,2.4418069758387473
7.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999271,2.5499999983798145,2.5499980369156723,2.549002203579583,2.4384798103307115
8.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999999,2.54999999999795,2.549999996501831,2.5499967377832857,2.5487156704522294,2.4352203906412613
9.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999976,2.5499999999949186,2.5499999931272166,2.5499949091435488,2.5483979371503036,2.432025953563127
10.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999936,2.549999999988592,2.5499999874655077,2.5499924395042823,2.54805042668694,2.428893881257434
11.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999984,2.549999999976368,2.5499999784749408,2.549989212728862,2.5476744985892434,2.4258216923592197
12.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999625,2.5499999999541845,2.549999964826997,2.5499851092296932,2.547271451786934,2.422807033743706
13.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999919,2.5499999999159844,2.5499999448725537,2.5499800070316154,2.5468425273707243,2.419847672873553
14.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999836,2.549999999853063,2.5499999166100618,2.549973782716788,2.546388911225989,2.416941490668105
15.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999996845,2.5499999997532985,2.549999877656086,2.5499663122616623,2.5459117365470707,2.414086474847768
16.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.54999999999942,2.5499999996002565,2.5499998252184453,2.549957471775779,2.545412086237338,2.4112807137144037
17.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999999,2.549999999998974,2.5499999993721794,2.5499997560721255,2.5499471381513263,2.5448909951999403,2.4085223903339146
18.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999998,2.5499999999982466,2.549999999040841,2.549999666538077,2.5499351896316638,2.544349452523998,2.4058097770911657
19.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999963,2.5499999999970937,2.549999998570288,2.549999552464948,2.549921506306328,2.5437884035707867,2.4031412305904136
20.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999993,2.5499999999953147,2.549999997915451,2.5499994092137652,2.549905970539411,2.543208751964319,2.4005151868769357
21.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999883,2.5499999999926333,2.5499999970206475,2.549999231645543,2.5498884673376447,2.542611361490534,2.397930156957637
22.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.54999999999998,2.5499999999886747,2.54999999581797,2.549999014111754,2.54986888466396,2.5419970579091533,2.395384722600227
23.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999966,2.549999999982945,2.5499999942255664,2.5499987504475934,2.5498471137018335,2.541366630682105,2.392877532392176
24.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999448,2.549999999974796,2.549999992145831,2.5499984339679114,2.549823049075272,2.540720834622249,2.3904072980420663
25.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999123,2.5499999999633918,2.549999989463496,2.5499980574657295,2.549796589028859,2.5400603914659947,2.3879727909072486
26.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999998644,2.549999999947667,2.5499999860436517,2.549997613213175,2.5497676355719388,2.53938599137326,2.3855728387328816
27.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999794,2.5499999999262815,2.549999981729687,2.549997092964721,2.5497360945906222,2.538698294358057,2.383206322588507
28.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999692,2.5499999998975635,2.5499999763411756,2.54999648796257,2.5497018759310173,2.5379979316528845,2.380872173989262
29.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999995473,2.549999999859452,2.549999969671705,2.5499957889440417,2.5496648934567596,2.5372855070099334,2.378569372189784
30.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999999,2.549999999999344,2.549999999809425,2.5499999614866673,2.5499949861508036,2.5496250650836676,2.5365615979420326,2.376296941639627
31.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999998,2.549999999999062,2.5499999997444274,2.549999951521018,2.549994069339802,2.5495823127940813,2.5358267569060775,2.3740539495898294
32.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999967,2.5499999999986755,2.5499999996607836,2.5499999394770145,2.5499930277957397,2.5495365626332287,2.5350815124316175,2.3718395038409565
33.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999995,2.549999999998151,2.549999999554105,2.5499999250219405,2.549991850344941,2.5494877446897393,2.534326370197136,2.3696527506235974
34.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999927,2.5499999999974476,2.549999999419189,2.5499999077858355,2.5499905253704878,2.5494357930622424,2.5335618140564407,2.3674928726029236
35.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999989,2.549999999996513,2.5499999992499087,2.5499998873592307,2.54998904082845,2.549380645813804,2.5327883070174924,2.3653590869994616
36.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999843,2.5499999999952814,2.54999999903909,2.5499998632908993,2.5499873842651075,2.5493222449157886,2.5320062921758786,2.363250643818755
37.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999977,2.549999999993674,2.5499999987783837,2.549999835085644,2.5499855428350093,2.5492605361826013,2.5312161936050575,2.361166824183119
38.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999967,2.5499999999915923,2.5499999984581256,2.549999802202109,2.5499835033197646,2.549195469198601,2.5304184172053827,2.359106938759079
39.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999545,2.5499999999889167,2.549999998067185,2.549999764050648,2.5499812521474343,2.5491269972383797,2.529613351513843,2.357070326274573
