time_s,C_r0.0_cm_kg_kg,C_r0.1_cm_kg_kg,C_r0.2_cm_kg_kg,C_r0.3_cm_kg_kg,C_r0.4_cm_kg_kg,C_r0.5_cm_kg_kg,C_r0.6_cm_kg_kg,C_r0.7_cm_kg_kg,C_r0.8_cm_kg_kg,C_r0.9_cm_kg_kg,C_r1.0_cm_kg_kg,C_r1.1_cm_kg_kg,C_r1.2_cm_kg_kg,C_r1.3_cm_kg_kg,C_r1.4_cm_kg_kg,C_r1.5_cm_kg_kg,C_r1.6_cm_kg_kg,C_r1.7_cm_kg_kg,C_r1.8_cm_kg_kg,C_r1.9_cm_kg_kg,C_r2.0_cm_kg_kg,药材表面
2340.0,2.549999999999785,2.5499999999989384,2.549999999988846,2.5499999998754443,2.549999998442396,2.549999983174578,2.549999842891318,2.54999872358255,2.5499909616755803,2.5499442571023803,2.549680375169414,2.5484439280921705,2.5436220547595902,2.5278197150537047,2.4842035894207335,2.3826401359739697,2.179463280865886,1.8393165217861884,1.3554740795581994,,,1.0735373839733253
2400.0,2.549999999999589,2.549999999997864,2.5499999999785077,2.5499999997723806,2.5499999972921996,2.549999972391838,2.5499997558346865,2.5499981161754337,2.5499873017062704,2.5499252679368323,2.5495860345148262,2.548077400644715,2.5424411505660367,2.524662149469856,2.477210127083815,2.369855742599508,2.1589427987251852,1.8146217914961669,1.331765869639359,,,1.0680634633959165
2460.0,2.549999999999177,2.549999999995775,2.5499999999594816,2.549999999588778,2.5499999953874535,2.5499999555296538,2.5499996268681464,2.5499972616354203,2.5499824003544904,2.54989966963716,2.549470256179737,2.5476476542266306,2.541111849949295,2.521233864721406,2.469852082371037,2.355954182317583,2.1384339060393347,1.7903471431391846,1.3087191010024832,,,1.0628737560740884
2520.0,2.5499999999983496,2.549999999991805,2.5499999999252085,2.549999999271039,2.5499999922931753,2.5499999296163125,2.5499994388078138,2.5499960763256952,2.549975918544562,2.5498666838765986,2.5493296418834226,2.5471479930404963,2.5396253302085277,2.517530050384386,2.46213718124764,2.3415750765821266,2.1179522230567187,1.7664797443447082,1.286324074257701,,,1.0578428826595367
2580.0,2.549999999996717,2.549999999984416,2.5499999998647107,2.549999998733817,2.549999987357444,2.54999989044767,2.549999168652636,2.549994454137679,2.549967447947408,2.5498251091618807,2.5491605141938583,2.5465715554553223,2.5379731070957723,2.513546870993489,2.454074572218824,2.3269412839713617,2.0975273397163665,1.7430407850340672,1.2645205677510964,,,1.0528252638862
2640.0,2.549999999993576,2.5499999999709444,2.549999999759975,2.549999997842795,2.549999979619915,2.5499998321682944,2.549998786044761,2.5499922621297526,2.5499565022939534,2.549773291814215,2.548958939955332,2.5459114453803537,2.536147480798457,2.5092827165828853,2.4456771727878706,2.312083968798355,2.077186853904944,1.7200262486423783,1.2432664036675856,,,1.048091978008429
2700.0,2.549999999987665,2.5499999999468645,2.5499999995819906,2.549999996391788,2.5499999676891174,2.5499997467447666,2.5499982514637463,2.5499893358385886,2.5499425093694987,2.5497093853339217,2.5487207624741335,2.5451607965161993,2.5341413500603425,2.504736501380684,2.4363423104222104,2.2970214754144105,2.0569317807951064,1.697402688897164,1.2225879037064908,,,1.0435290083519009
2760.0,2.549999999976772,2.5499999999046263,2.549999999284856,2.5499999940697426,2.549999949580796,2.549999623314416,2.549997514132815,2.5499854741614665,2.549924802339088,2.54963134278534,2.5484415910042153,2.544312674071339,2.5319478226156047,2.4999072585149724,2.426666853559122,2.2817761547293207,2.0367835219303934,1.6751884835113273,1.2024233612940307,,,1.0389622580143334
2820.0,2.549999999957099,2.5499999998318703,2.549999998797196,2.5499999904152317,2.5499999225077796,2.549999447386957,2.5499965095914656,2.5499804337299135,2.5499024487779325,2.5495369140257966,2.5481168373457894,2.543360267018503,2.529560992369427,2.4947965853592278,2.4166853127467074,2.2663783244947227,2.0167709429860485,1.6533925140638566,1.1827063165751233,,,1.0344529359813621
2880.0,2.549999999922228,2.5499999997087115,2.5499999980098376,2.549999984754551,2.549999882611218,2.5499991998846863,2.549995156981757,2.549973923308422,2.549873340279567,2.5494236573034397,2.547741788806331,2.5422970636404574,2.5269760585420853,2.4894076774458775,2.4064158557440085,2.2508509239170995,1.9969019976318532,1.6319843064617248,1.16344865676651,,,1.030178500409576
