time_s,C_r0.0_cm_kg_kg,C_r0.1_cm_kg_kg,C_r0.2_cm_kg_kg,C_r0.3_cm_kg_kg,C_r0.4_cm_kg_kg,C_r0.5_cm_kg_kg,C_r0.6_cm_kg_kg,C_r0.7_cm_kg_kg,C_r0.8_cm_kg_kg,C_r0.9_cm_kg_kg,C_r1.0_cm_kg_kg,C_r1.1_cm_kg_kg,C_r1.2_cm_kg_kg,C_r1.3_cm_kg_kg,C_r1.4_cm_kg_kg,C_r1.5_cm_kg_kg,C_r1.6_cm_kg_kg,C_r1.7_cm_kg_kg,C_r1.8_cm_kg_kg,C_r1.9_cm_kg_kg,C_r2.0_cm_kg_kg
720.0,2.549999999941989,2.549999999831707,2.5499999991284548,2.549999995032967,2.5499999721458386,2.549999851153753,2.549999253221465,2.5499965130813127,2.5499849378181842,2.549940076919948,2.549781197303271,2.5492687250767663,2.5477675299888,2.543783116875434,2.5342172785828083,2.5134620676918966,2.472760581873898,2.4005362163770894,2.2842982745935547,2.11406450168837,1.88658560864789
780.0,2.5499999997152987,2.5499999992598346,2.5499999966103193,2.549999982811656,2.5499999138860803,2.5499995873267567,2.54999813598637,2.549992131209445,2.549969131037217,2.5498879252618454,2.5496245794803905,2.5488424623493904,2.5467203207539346,2.5414695851871754,2.5296373922449593,2.505366317007727,2.4600298339822047,2.3828141069664497,2.2626354560807407,2.0911818579102546,1.8664562680816967
840.0,2.549999998837555,2.549999997250243,2.549999988723204,2.5499999485020535,2.549999766712184,2.5499989854875356,2.5499958260511004,2.549983887493166,2.549941955701281,2.5498056079976474,2.549396463781779,2.54826639911055,2.5453993630129053,2.53872815758018,2.5245043366312254,2.496721945683918,2.446982480347933,2.365249509911817,2.2417172197468087,2.069497388872988,1.8475709832279619
900.0,2.549999995928757,2.5499999911271107,2.549999967061521,2.549999863131174,2.5499994336452176,2.5499977424620246,2.5499914565742987,2.5499695520030823,2.549898336643836,2.5496831204064936,2.5490803161847055,2.5475190474013214,2.5437864639112036,2.5355596427890377,2.5188542843122033,2.4876028446197034,2.433705882033182,2.3478971136293847,2.2215239007837226,2.048899290722611,1.8297600473052236
960.0,2.5499999874704926,2.5499999745785047,2.5499999137728375,2.5499996710967174,2.5499987459685043,2.5499953789463325,2.5499837795036573,2.5499461954891287,2.5498321844177623,2.549509504533065,2.548659692858383,2.546581405704944,2.541868871064322,2.531971306739978,2.51272603548918,2.478076586017429,2.4202710560649416,2.3307891993612246,2.20201109009172,2.0292735893272686,1.8129989887541262
1020.0,2.549999965456397,2.5499999341815234,2.5499997943466592,2.5499992744208253,2.5499974317994214,2.5499911869045673,2.5499711013900415,2.5499101612836412,2.549736500215649,2.5492731790517986,2.5481187170168207,2.545437137879498,2.539638378720997,2.5279742845755955,2.506156899218042,2.468199862285734,2.4067295610709785,2.3139386964362894,2.1831360175418424,2.010552940576451,1.797133282802968
1080.0,2.549999913343951,2.549999843795909,2.5499995471680004,2.549998512412814,2.549995080211998,2.5499841778387604,2.5499512341170334,2.5498570701142107,2.549603510888523,2.548962235565906,2.5474423971669786,2.5440725575912717,2.5370906971454463,2.5235828732930803,2.4991840571097232,2.458025619602492,2.3931301734194816,2.297365878204788,2.1648750882309407,1.9926581396285212,1.7821942310103753
1140.0,2.5499997996590076,2.5499996562016953,2.549999069411,2.5499971370491914,2.5499911027636797,2.549973035494604,2.5499214636082463,2.5497818562423067,2.5494248314316135,2.5485647302960825,2.546616911733393,2.5424766174830564,2.534224819160264,2.5188129479886454,2.4918411698351903,2.4475951940723126,2.37950101113881,2.2810626560724336,2.1471767861260593,1.975542568581475,1.7680581284666725
1200.0,2.549999568616863,2.5499992914398604,2.549998199102702,2.5499947847948645,2.5499846944983133,2.549956075675062,2.5498785359437344,2.549678822432665,2.5491916145967637,2.548068868879118,2.5456296176712425,2.5406404201262,2.5310418914914514,2.5136808586648187,2.484159716843531,2.4369472639779723,2.3658743193258718,2.265043816229994,2.1300378939282263,1.9591587478459687,1.7546323578376803
1260.0,2.549999127213273,2.5499986214583865,2.549996693419485,2.549990945751089,2.5499747960756523,2.5499312142488444,2.5498186589652674,2.5495417107069445,2.548894708451323,2.5474632190002753,2.544469251049251,2.538557425734328,2.5275457248858784,2.508204783420884,2.476171212616111,2.4261186532018684,2.3522791627004676,2.2493178258427853,2.1134358630603027,1.9434541269709542,1.7417941242951394
