time_s,C_r0.0_cm_kg_kg,C_r0.1_cm_kg_kg,C_r0.2_cm_kg_kg,C_r0.3_cm_kg_kg,C_r0.4_cm_kg_kg,C_r0.5_cm_kg_kg,C_r0.6_cm_kg_kg,C_r0.7_cm_kg_kg,C_r0.8_cm_kg_kg,C_r0.9_cm_kg_kg,C_r1.0_cm_kg_kg,C_r1.1_cm_kg_kg,C_r1.2_cm_kg_kg,C_r1.3_cm_kg_kg,C_r1.4_cm_kg_kg,C_r1.5_cm_kg_kg,C_r1.6_cm_kg_kg,C_r1.7_cm_kg_kg,C_r1.8_cm_kg_kg,C_r1.9_cm_kg_kg,C_r2.0_cm_kg_kg
1.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999992,2.5499999993574294,2.549980559121072,2.4476993387228716
2.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999994682,2.5499999899619814,2.5499232844551285,2.4439793268949654
3.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999994106,2.5499999503750788,2.5498297009981195,2.440334040686613
4.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999963,2.5499999999677962,2.549999846823443,2.549701273128871,2.436760615858189
5.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999979,2.5499999998805425,2.5499996347263263,2.5495394070266446,2.4332563255475144
6.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999114,2.5499999996531204,2.5499992600927377,2.5493454529975557,2.429818572910028
7.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999706,2.5499999991493043,2.5499986607983343,2.5491207077124987,2.4264448841776183
8.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999991694,2.5499999981563453,2.5499977677509573,2.5488664163592523,2.4231329021116945
9.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999994,2.5499999999979335,2.549999996364302,2.549996505953184,2.5485837747114397,2.4198803798274375
10.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999998,2.5499999999953418,2.549999993344733,2.5499947954696713,2.548273931117035,2.416685174967555
11.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999995,2.5499999999903107,2.549999988529192,2.5499925523065143,2.54793798840906,2.413545244205089
12.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999883,2.5499999999811394,2.549999981187895,2.5499896892093488,2.5475770057411156,2.41045863805605
13.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999745,2.5499999999652747,2.5499999704088676,2.549986116386437,2.547192000350339,2.4074234959837586
14.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999474,2.549999999939024,2.549999955077835,2.5499817421625424,2.5467839492503375,2.4044380417778553
15.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999899,2.5499999998972145,2.5499999338590653,2.549976473568981,2.5463537908565987,2.4015005791919357
16.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999998133,2.5499999998327905,2.5499999051773288,2.5499702168748573,2.5459024265468404,2.398609487824724
17.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999996685,2.5499999997363507,2.549999867201116,2.5499628780641346,2.545430722158671,2.395763219230577
18.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999994314,2.5499999995956277,2.549999817827212,2.5499543632628447,2.5449395094269063,2.3929602932459737
19.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999994,2.549999999999053,2.549999999394897,2.5499997546666977,2.549944579120454,2.544429587362807,2.390199294519419
20.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999985,2.5499999999984673,2.5499999991143296,2.54999967503243,2.549933433149081,2.5439017235774406,2.387478869232937
21.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999997,2.5499999999975795,2.5499999987292776,2.5499995759280294,2.549920834024032,2.5433566555513094,2.384797722004056
22.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999995,2.5499999999962637,2.5499999982094983,2.5499994540383817,2.5499066918488227,2.542795091852318,2.382154612957817
23.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999992,2.54999999999435,2.549999997518322,2.5499993057216486,2.5498909183876637,2.542217713304094,2.3795483549589664
24.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999865,2.549999999991616,2.5499999966117564,2.549999127002777,2.54987342726814,2.541625174106599,2.376977810995103
25.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999785,2.5499999999877723,2.5499999954375396,2.549998913568453,2.5498541341566283,2.54101810291092,2.3744418917020633
26.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999656,2.5499999999824485,2.5499999939341396,2.5499986607634955,2.5498329569088005,2.5403971038500486,2.3719395530233753
27.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999947,2.549999999975177,2.5499999920297016,2.5499983635886077,2.5498098156973854,2.539762757527404,2.3694697939960765
28.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999203,2.5499999999653675,2.549999989640955,2.5499980166994556,2.5497846331192022,2.5391156219647986,2.3670316546556607
29.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999998817,2.5499999999522927,2.5499999866720753,2.549997614407009,2.5497573342833286,2.538456233511464,2.364624214053348
30.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999828,2.5499999999350544,2.5499999830135085,2.5499971506790775,2.549727846882115,2.5377851077157203,2.3622465883792643
31.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999753,2.549999999912559,2.5499999785407645,2.5499966191429793,2.5496961012466364,2.5371027401608006,2.359897929185513
32.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999996494,2.549999999883484,2.549999973113181,2.5499960130892836,2.5496620303880495,2.5364096072662843,2.357577421703462
33.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999995087,2.549999999846241,2.5499999665726594,2.5499953254765453,2.549625570026201,2.5357061670565417,2.355284283249917
34.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999999,2.5499999999993186,2.5499999997989367,2.549999958742389,2.5499945489369713,2.5495866586067386,2.534992859897552,2.3530177617171555
35.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999998,2.549999999999065,2.5499999997393283,2.5499999494255503,2.5499936757829476,2.5495452373078744,2.5342701092033715,2.350777134142101
36.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999997,2.5499999999987293,2.5499999996647755,2.549999938404006,2.5499926980143606,2.5495012500378564,2.5335383221135146,2.348561705350199
37.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999954,2.5499999999982896,2.5499999995721887,2.549999925436996,2.549991607326645,2.5494546434241223,2.532797890142447,2.3463708066697864
38.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999936,2.549999999997717,2.549999999457971,2.5499999102598188,2.5499903951194876,2.5494053667950345,2.532049189802329,2.344203794713046
39.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999991,2.5499999999969787,2.5499999993179583,2.5499998925825267,2.5499890525061337,2.5493533721550192,2.531292583200133,2.3420600502198132
40.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999874,2.5499999999960328,2.549999999147351,2.5499998720886206,2.5499875703232204,2.549298614153861,2.5305284186101815,2.3399389769607577
41.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999983,2.549999999994829,2.549999998940646,2.549999848433762,2.549985939141089,2.549241050050856,2.529757031023138,2.3378400006966458
