time_s,R_m,T_K_max_abs,T_K_r_m,T_K_z_m,T_K_volume_RMSE,T_K_midplane_max_abs,T_K_endface_max_abs,T_K_middle_zone_max_abs,T_K_end_zone_max_abs,C_kg_kg_max_abs,C_kg_kg_r_m,C_kg_kg_z_m,C_kg_kg_volume_RMSE,C_kg_kg_midplane_max_abs,C_kg_kg_endface_max_abs,C_kg_kg_middle_zone_max_abs,C_kg_kg_end_zone_max_abs
18.0,0.02,0.009916648604360034,0.014477183757328583,0.125,0.0006113593753203327,0.0001199552866069098,0.009916648604360034,0.0001199552866069098,0.009916648604360034,0.1869357025155578,0.02,0.125,0.003183704526543567,0.01440099944905171,0.1869357025155578,0.01440099944905171,0.1869357025155578
19.0,0.02,0.010712807365848676,0.014477183757328583,0.125,0.0006721261681799002,0.0001227805668122528,0.010712807365848676,0.0001227805668122528,0.010712807365848676,0.18798286879377102,0.02,0.125,0.0033375425164922884,0.013905793305877712,0.18798286879377102,0.013905793305877712,0.18798286879377102
20.0,0.02,0.011528136901063135,0.013980510430790141,0.125,0.0007352529201809118,0.00012550541612199595,0.011528136901063135,0.00012550541612199595,0.011528136901063135,0.1890561939171591,0.02,0.125,0.003490776592002945,0.013450329180924037,0.1890561939171591,0.013450329180924037,0.1890561939171591
21.0,0.02,0.012362092595651575,0.013980510430790141,0.125,0.0008006992267222598,0.00012813728557148352,0.012362092595651575,0.00012813728557148352,0.012362092595651575,0.190151293991617,0.02,0.125,0.003643359911546489,0.013030018104028596,0.190151293991617,0.013030018104028596,0.190151293991617
22.0,0.02,0.01321421218864316,0.013482673729761002,0.125,0.0008684270268765148,0.00013068274904526334,0.01321421218864316,0.00013068274904526334,0.01321421218864316,0.1912644427532313,0.02,0.125,0.0037952598530381298,0.012640933687295686,0.1912644427532313,0.012640933687295686,0.1912644427532313
23.0,0.02,0.014083983973648628,0.013482673729761002,0.125,0.0009384003593227628,0.00013314764112237754,0.014083983973648628,0.00013314764112237754,0.014083983973648628,0.19239245784506087,0.02,0.125,0.003946453253790156,0.012279698137134698,0.19239245784506087,0.012279698137134698,0.19239245784506087
24.0,0.02,0.01497103422894952,0.012983773931254747,0.125,0.0010105851536752909,0.00013553716871683719,0.01497103422894952,0.00013553716871683719,0.01497103422894952,0.1935326098907586,0.02,0.125,0.004096923446207405,0.011943391091387312,0.1935326098907586,0.011943391091387312,0.1935326098907586
25.0,0.02,0.015874891700036642,0.012983773931254747,0.125,0.0010849490508009904,0.0001378560027092135,0.015874891700036642,0.0001378560027092135,0.015874891700036642,0.19483757705343718,0.018858664183102967,0.125,0.004246658395321524,0.011629476056068455,0.19483757705343718,0.011629476056068455,0.19483757705343718
26.0,0.02,0.016795241977490605,0.012483891838706268,0.125,0.0011614612470237729,0.00014010835144517841,0.016795241977490605,0.00014010835144517841,0.016795241977490605,0.19658321193719086,0.018858664183102967,0.125,0.004395649510084992,0.01133574056087383,0.19658321193719086,0.01133574056087383,0.19658321193719086
27.0,0.02,0.0177316569753998,0.012483891838706268,0.125,0.0012400923582487654,0.00014229802292220484,0.0177316569753998,0.00014229802292220484,0.0177316569753998,0.1983097339632831,0.018858664183102967,0.125,0.004543890865966412,0.011060247114442756,0.1983097339632831,0.011060247114442756,0.1983097339632831
