time_s,R_m,T_K_max_abs,T_K_r_m,T_K_z_m,T_K_volume_RMSE,T_K_midplane_max_abs,T_K_endface_max_abs,T_K_middle_zone_max_abs,T_K_end_zone_max_abs,C_kg_kg_max_abs,C_kg_kg_r_m,C_kg_kg_z_m,C_kg_kg_volume_RMSE,C_kg_kg_midplane_max_abs,C_kg_kg_endface_max_abs,C_kg_kg_middle_zone_max_abs,C_kg_kg_end_zone_max_abs
33.0,0.02,0.03278719994165158,0.007976840399843262,0.125,0.002547978220490318,0.00014444716026673632,0.03278719994165158,0.00014444716032357974,0.03278719994165158,0.21735812616788452,0.018983035642969562,0.125,0.005684360986028416,0.009519536276294982,0.21735812616788452,0.009519536276294982,0.21735812616788452
34.0,0.02,0.03421983243185878,0.007435659025733593,0.125,0.0026802275323325546,0.00014607099518570976,0.03421983243185878,0.00014607099518570976,0.03421983243185878,0.21913861204822194,0.018983035642969562,0.125,0.005833197382206155,0.009327458066477057,0.21913861204822194,0.009327458066477057,0.21913861204822194
35.0,0.02,0.03567062817177202,0.006893108767669093,0.125,0.0028150781240699066,0.0001476604177810259,0.03567062817177202,0.00014766041783786932,0.03567062817177202,0.2209005907023105,0.018983035642969562,0.125,0.005981186332909387,0.009144588189049951,0.2209005907023105,0.009144588189049951,0.2209005907023105
36.0,0.02,0.03713926200299511,0.006893108767669093,0.125,0.0029524972583113997,0.00014921709117743376,0.03713926200299511,0.00014921709117743376,0.03713926200299511,0.22264454463512529,0.018983035642969562,0.125,0.006128336822568992,0.008970235378027436,0.22264454463512529,0.008970235378027436,0.22264454463512529
37.0,0.02,0.038625416940078594,0.006349225127478153,0.125,0.003092453255162725,0.00015074255520630686,0.038625416940078594,0.00015074255520630686,0.038625416940078594,0.22437094070774322,0.018983035642969562,0.125,0.006274658185538243,0.008803776140422492,0.22437094070774322,0.008803776140422492,0.22437094070774322
38.0,0.02,0.040128792362054355,0.006349225127478153,0.125,0.003234915429300065,0.00015223823919541246,0.040128792362054355,0.00015223823925225588,0.040128792362054355,0.2260802295693689,0.018983035642969562,0.125,0.006420160032634931,0.008644646783352528,0.2260802295693689,0.008644646783352528,0.2260802295693689
39.0,0.02,0.04164909870723932,0.005804024711706093,0.125,0.003379854032428668,0.0001537054717459796,0.04164909870723932,0.0001537054717459796,0.04164909870723932,0.22777284540027898,0.018983035642969562,0.125,0.006564852187677738,0.008492336519700494,0.22777284540027898,0.008492336519700494,0.22777284540027898
40.0,0.02,0.04318605705526579,0.005804024711706093,0.125,0.0035272402004864157,0.0001551454898844895,0.04318605705526579,0.00015514548994133293,0.04318605705526579,0.22944920589750728,0.018983035642969562,0.125,0.006708744632631869,0.008346381488347987,0.22944920589750728,0.008346381488347987,0.22944920589750728
41.0,0.02,0.04473940140923105,0.005257513054872893,0.125,0.003677045905138841,0.00015655944815762268,0.04473940140923105,0.0001565594482144661,0.04473940140923105,0.23110971244750322,0.018983035642969562,0.125,0.006851847460213158,0.008206359552477949,0.23110971244750322,0.008206359552477949,0.23110971244750322
42.0,0.02,0.04630887252778848,0.004709689338509177,0.125,0.003829243909111233,0.00015794842522609542,0.04630887252778848,0.00015794842528293884,0.04630887252778848,0.2327547504405345,0.018983035642969562,0.125,0.0069941708329776696,0.0080718857622184,0.2327547504405345,0.0080718857622184,0.2327547504405345
43.0,0.02,0.047894224184631184,0.004709689338509177,0.125,0.003983807724888147,0.00015931343023112277,0.047894224184631184,0.00015931343028796618,0.047894224184631184,0.234440775778888,0.01857624990015739,0.125,0.007135724948063029,0.00794260838622618,0.234440775778888,0.00794260838622618,0.234440775778888
44.0,0.02,0.049495215672607173,0.004160549166406691,0.125,0.004140711576620595,0.00016065540933141165,0.049495215672607173,0.00016065540933141165,0.049495215672607173,0.23613652515095218,0.01857624990015739,0.125,0.007276520006862001,0.007818205432047254,0.23613652515095218,0.007818205432047254,0.23613652515095218
45.0,0.02,0.05111161727182889,0.004160549166406691,0.125,0.004299930364712257,0.000161975250193791,0.05111161727182889,0.000161975250193791,0.05111161727182889,0.2378182815441483,0.01857624990015739,0.125,0.007416566189000711,0.00769838158759617,0.2378182815441483,0.00769838158759617,0.2378182815441483
