time_s,R_m,T_K_max_abs,T_K_r_m,T_K_z_m,T_K_volume_RMSE,T_K_midplane_max_abs,T_K_endface_max_abs,T_K_middle_zone_max_abs,T_K_end_zone_max_abs,C_kg_kg_max_abs,C_kg_kg_r_m,C_kg_kg_z_m,C_kg_kg_volume_RMSE,C_kg_kg_midplane_max_abs,C_kg_kg_endface_max_abs,C_kg_kg_middle_zone_max_abs,C_kg_kg_end_zone_max_abs
0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,0.01995766666666667,0.0740881781968028,0.008915060203989574,0.125,0.005390810987556949,0.00036967316873415257,0.0740881781968028,0.00036967316873415257,0.0740881781968028,0.7328620551091871,0.019252847286208376,0.125,0.008248016966851445,0.07160401680080719,0.7328620551091871,0.07160401680080763,0.7328620551091871
120.0,0.019915333333333333,0.21618863355246276,0.00025632001319857747,0.125,0.01855296454950536,0.0004224929222687024,0.21618863355246276,0.0004224929222687024,0.21618863355246276,0.7899348769241918,0.01874312608619185,0.125,0.015343006807737552,0.03483779291654332,0.7899348769241918,0.03483779291654354,0.7899348769241918
180.0,0.019873000000000002,0.37435495518013795,0.00025577516263659475,0.125,0.03593103540941277,0.000246039093951822,0.37435495518013795,0.000246039093951822,0.37435495518013795,0.8439739790597329,0.0,0.125,0.0216110753922912,0.020239382149788154,0.8439739790597329,0.020239382149788376,0.8439739790597329
240.0,0.019830666666666667,0.5243430452425741,0.00025523031207461204,0.125,0.05418498583644604,0.00022421009032314032,0.5243430452425741,0.00022421009032314032,0.5243430452425741,0.8929611193688267,0.0,0.125,0.027329810097754426,0.014539958583382973,0.8929611193688267,0.014539958583382973,0.8929611193688267
300.0,0.019788333333333335,0.7371083163362755,0.0002546854615126293,0.125,0.07700420385351851,0.00030925980212259674,0.7371083163362755,0.00030925980217944016,0.7371083163362755,0.9367250212247067,0.0,0.125,0.03259138890083484,0.013998775307092926,0.9367250212247067,0.01399877530709337,0.9367250212247067
360.0,0.019746,0.9451287448171115,0.0002541406109506466,0.125,0.10276074507598919,0.00034013867707471945,0.9451287448171115,0.00034013867713156287,0.9451287448171115,0.9764398435127097,0.0,0.125,0.03745577170546363,0.013209850001148382,0.9764398435127097,0.013209850001148826,0.9764398435127097
420.0,0.019703666666666668,1.1575865116621458,0.0002535957603886639,0.125,0.12918009000650008,0.0003625986947213278,1.1575865116621458,0.0003625986947213278,1.1575865116621458,1.012695137227983,0.0,0.125,0.04197311030193845,0.01237398546847679,1.012695137227983,0.012373985468477011,1.012695137227983
480.0,0.019661333333333333,1.3447235953275367,0.00025305090982668117,0.125,0.15482592716411092,0.0003771376656800385,1.3447235953275367,0.0003771376656800385,1.3447235953275367,1.0461507271481005,0.0,0.125,0.046185796050514254,0.011550234208564047,1.0461507271481005,0.01155023420856427,1.0461507271481005
540.0,0.019619,1.5606468638895876,0.00025250605926469845,0.125,0.18153049011867492,0.00037962470787533675,1.5606468638895876,0.00037962470793218017,1.5606468638895876,1.076593903820947,0.0,0.125,0.05013015674675741,0.010793324309475327,1.076593903820947,0.010793324309475771,1.076593903820947
